Company,"PNP ID","Approved On Date"
"Logos Design A/S",SGO,04/24/2001
"Long Engineering Design Inc",LED,11/29/1996
"Longshine Electronics Company",LCS,11/29/1996
"Loughborough Sound Images",LSI,11/29/1996
"LSI Japan Company Ltd",LSJ,11/29/1996
"LSI Systems Inc",LSY,11/29/1996
"LTS Scale LLC",LTS,11/15/2007
Lubosoft,LBO,04/24/2001
"Lucent Technologies",LUC,04/19/2000
"Lucent Technologies",LMG,01/13/1997
"Lucidity Technology Company Ltd",LTK,05/18/1998
"Lumagen, Inc.",LUM,08/12/2004
"Lung Hwa Electronics Company Ltd",LHE,06/12/1998
Luxeon,LXN,03/15/2001
"Luxxell Research Inc",LUX,06/09/1997
"LVI Low Vision International AB",LVI,01/21/2011
"LXCO Technologies AG",LXC,01/11/2012
"MAC System Company Ltd",MAC,09/26/1997
"Mac-Eight Co., LTD.",MEJ,01/19/2011
"Macraigor Systems Inc",OCD,03/23/1998
"Macrocad Development Inc.",VHI,04/19/2000
"Macronix Inc",MXI,11/29/1996
"Madge Networks",MDG,11/29/1996
"Maestro Pty Ltd",MAE,12/04/1996
"MAG InnoVision",MAG,11/29/1996
"Magic Leap",MLP,11/14/2014
"Magni Systems Inc",MCP,11/29/1996
"MagTek Inc.",EKA,02/14/2006
"Magus Data Tech",MDT,11/29/1996
"Mainpine Limited",MPN,06/30/2007
"Mainpine Limited",MUK,09/13/1999
"Many CNC System Co., Ltd.",PAK,03/12/2004
"Maple Research Inst. Company Ltd",MPL,11/29/1996
"MARANTZ JAPAN, INC.",MJI,10/23/2000
"Marconi Instruments Ltd",MIL,11/29/1996
"Marconi Simulation & Ty-Coch Way Training",MRC,11/29/1996
"Marina Communicaitons",MCR,11/29/1996
"Mark Levinson",MLN,02/28/2005
"Mark of the Unicorn Inc",MTU,03/21/1997
"Marseille, Inc.",MNI,02/27/2013
"Marshall Electronics",MBM,03/13/2006
"Mars-Tech Corporation",MTC,11/29/1996
"Maruko & Company Ltd",MRK,11/29/1996
"MASPRO DENKOH Corp.",MSR,10/25/2012
"Mass Inc.",MAS,02/25/2002
"Matelect Ltd.",MEQ,05/30/2002
Matrox,MTX,11/29/1996
"Mat's Computers",MCQ,07/22/2004
"Matsushita Communication Industrial Co., Ltd.",WPA,03/15/2001
"Panasonic Connect Co.,Ltd.",MAT,04/01/2022
"MaxCom Technical Inc",MTI,11/29/1996
"MaxData Computer AG",VOB,02/21/2000
"MaxData Computer GmbH & Co.KG",MXD,04/19/2000
"Maxpeed Corporation",MXP,02/19/1997
"Maxtech Corporation",MXT,11/29/1996
"MaxVision Corporation",MXV,07/16/1999
"Maygay Machines, Ltd",DJP,08/10/2000
"Maynard Electronics",MAY,11/29/1996
"MAZeT GmbH",MAZ,08/11/1998
MBC,MBC,11/29/1996
"McDATA Corporation",MCD,11/29/1996
"McIntosh Laboratory Inc.",MLI,01/18/2008
"MCM Industrial Technology GmbH",MIT,10/29/2004
"MEC Electronics GmbH",CEM,04/19/2000
"Medar Inc",MDR,12/11/1996
"Media Technologies Ltd.",MTB,01/05/2009
"Media Tek Inc.",MKC,06/14/2007
"Media Vision Inc",MVI,11/29/1996
"Media4 Inc",MDA,03/20/1997
"Mediacom Technologies Pte Ltd",OWL,11/29/1996
"Mediaedge Corporation",MEK,11/19/2013
"MediaFire Corp.",MFR,12/28/1998
Mediasonic,FTR,11/29/1996
"MediaTec GmbH",MTE,12/13/1996
"Mediatek Corporation",MDK,03/13/1997
"Mediatrix Peripherals Inc",MPI,04/24/1997
"Medikro Oy",MRO,09/19/1997
"Mega System Technologies Inc",MEC,12/29/1997
"Mega System Technologies, Inc.",MGA,12/28/1998
"Megasoft Inc",MSK,11/29/1996
"Megatech R & D Company",MGT,11/29/1996
"Meld Technology",MEP,08/16/2012
"MEN Mikroelectronik Nueruberg GmbH",MEN,05/23/1997
"Mentor Graphics Corporation",MGC,07/30/2009
MEPCO,RLD,03/15/2001
MEPhI,PPD,11/27/1998
"Merging Technologies",MRT,11/29/1996
"Meridian Audio Ltd",MAL,02/04/2009
"Messeltronik Dresden GmbH",MED,11/29/1996
"MET Development Inc",MDV,11/29/1996
"Meta Watch Ltd",MTA,08/29/2013
"Metheus Corporation",MET,11/29/1996
"Metricom Inc",MCM,11/29/1996
"Metronics Inc",QCH,11/29/1996
"Mettler Toledo",NET,11/29/1996
"Metz-Werke GmbH & Co KG",MCE,06/30/2005
"M-G Technology Ltd",MGL,10/29/1997
"Micom Communications Inc",MIC,05/05/1997
"Micomsoft Co., Ltd.",MSX,04/10/2008
"Micro Computer Systems",MCS,11/29/1996
"Micro Design Inc",MDI,01/20/1998
"Micro Display Systems Inc",MDS,11/29/1996
"Micro Firmware",MFI,12/30/1997
"Micro Industries",MCC,04/21/2003
"Micro Solutions, Inc.",BPD,04/19/2000
"Micro Systemation AB",MSA,11/08/1999
"Micro Technical Company Ltd",JMT,11/29/1996
"Microbus PLC",MBD,08/13/2002
Microcom,MNP,11/29/1996
"MicroDatec GmbH",MDX,09/13/1999
"MicroDisplay Corporation",MRD,06/14/2007
"Microdyne Inc",MDY,12/18/1996
"MicroField Graphics Inc",MFG,11/29/1996
Microlab,MPJ,05/23/1997
Microline,LAF,09/13/1999
"Micrologica AG",MLG,10/06/1998
"Micromed Biotecnologia Ltd",MMD,12/11/1996
"Micromedia AG",MMA,04/24/1997
"Micron Electronics Inc",MCN,02/20/1997
"Micronics Computers",MCI,11/29/1996
micronpc.com,MIP,08/10/2000
"Micronyx Inc",MYX,11/29/1996
"Micropix Technologies, Ltd.",MPX,10/08/2001
"MicroSlate Inc.",MSL,05/16/1999
Microsoft,PNP,03/05/2004
Microsoft,MSH,11/29/1996
Microsoft,PNG,11/29/1996
MicroSoftWare,WBN,01/14/1998
Microstep,MSI,11/29/1996
Microtec,MCT,11/29/1996
"Micro-Tech Hearing Instruments",MTH,12/15/1997
"MICROTEK Inc.",MKT,07/14/2005
"Microtek International Inc.",MTK,02/25/2002
"MicroTouch Systems Inc",MSY,08/10/2000
Microvision,MVS,02/13/2009
"Microvitec PLC",MVD,11/29/1996
"Microway Inc",MWY,11/29/1996
"Midori Electronics",MDC,11/29/1996
"Mikroforum Ring 3",SFT,11/02/2004
"Milestone EPE",MLS,08/11/1998
"Millennium Engineering Inc",MLM,11/29/1996
"Millogic Ltd.",MLL,01/09/2014
"Millson Custom Solutions Inc.",MCX,10/17/2013
"Miltope Corporation",VTM,09/23/2009
"Mimio – A Newell Rubbermaid Company",MIM,07/31/2012
"MindTech Display Co. Ltd",MTD,06/14/2007
"MindTribe Product Engineering, Inc.",FTW,02/14/2011
"Mini Micro Methods Ltd",MNC,11/29/1996
"Minicom Digital Signage",MIN,08/13/2010
"MiniMan Inc",MMN,11/29/1996
"Minnesota Mining and Manufacturing",MMF,03/15/2001
"Miranda Technologies Inc",MRA,11/29/1996
Miratel,MRL,10/16/1998
"Miro Computer Prod.",MIR,11/29/1996
"miro Displays",MID,03/20/1999
"Mistral Solutions [P] Ltd.",MSP,09/23/1998
"Mitec Inc",MII,11/29/1996
"Mitel Corporation",MTL,08/01/1997
"Mitron computer Inc",MTR,11/29/1996
"Mitsubishi Electric Corporation",MEL,11/29/1996
"Mitsubishi Electric Engineering Co., Ltd.",MEE,10/03/2005
"Mitsumi Company Ltd",KMC,11/29/1996
"MJS Designs",MJS,11/29/1996
"MK Seiko Co., Ltd.",MKS,06/18/2013
"M-Labs Limited",OHW,11/27/2013
"MMS Electronics",MMS,02/24/1998
"Modesto PC Inc",FST,02/27/1997
MODIS,MDD,11/08/1999
"Modular Industrial Solutions Inc",MIS,11/29/1996
"Modular Technology",MOD,06/09/1997
"Momentum Data Systems",MOM,01/18/2008
"Monorail Inc",MNL,02/18/1997
Monydata,MYA,11/29/1996
"Moreton Bay",MBV,01/13/2000
"Moses Corporation",MOS,11/29/1996
"Mosgi Corporation",MSV,11/29/1996
"Motion Computing Inc.",MCO,05/30/2002
Motium,MTM,06/19/2012
motorola,MSU,03/15/2001
"Motorola Communications Israel",MCL,07/02/2002
"Motorola Computer Group",MCG,08/14/1997
"Motorola UDS",MOT,11/29/1996
"Mouse Systems Corporation",MSC,11/29/1996
"M-Pact Inc",MPC,11/29/1996
"mps Software GmbH",MPS,11/29/1996
"MS Telematica",MST,04/28/1997
"MSC Vertriebs GmbH",MEX,06/04/2012
"MSI GmbH",MSG,09/13/1999
"M-Systems Flash Disk Pioneers",MSF,12/17/1997
"Mtron Storage Technology Co., Ltd.",MTN,06/17/2008
"Multi-Dimension Institute",MUD,10/23/2000
Multimax,MMI,11/29/1996
"Multi-Tech Systems",MTS,11/29/1996
"Multiwave Innovation Pte Ltd",MWI,11/29/1996
"Mutoh America Inc",MAI,09/13/1999
mware,MWR,04/24/2001
"Mylex Corporation",MLX,11/29/1996
"Myriad Solutions Ltd",MYR,11/29/1996
"Myse Technology",WYS,11/29/1996
"N*Able Technologies Inc",NBL,04/28/1998
"NAD Electronics",NAD,06/14/2007
"Naitoh Densei CO., LTD.",NDK,04/12/2006
"Najing CEC Panda FPD Technology CO. ltd",NCP,02/24/2015
"Nakano Engineering Co.,Ltd.",NAK,07/22/2009
"Nakayo Relecommunications, Inc.",NYC,08/10/2000
"Nanomach Anstalt",SCS,11/29/1996
"Nasa Ames Research Center",ADR,11/29/1996
"National DataComm Corporaiton",NDC,11/29/1996
"National Display Systems",NDI,08/08/2003
"National Instruments Corporation",NIC,11/29/1996
"National Key Lab. on ISN",NBS,07/16/1998
"National Semiconductor Corporation",NSC,11/29/1996
"National Semiconductor Japan Ltd",TTB,04/14/1997
"National Transcomm. Ltd",NTL,11/29/1996
"Nationz Technologies Inc.",ZIC,03/12/2009
"Natural Micro System",NMS,11/29/1996
"NaturalPoint Inc.",NAT,09/03/2010
"Navatek Engineering Corporation",NVT,03/02/1998
"Navico, Inc.",NME,11/28/2012
"Navigation Corporation",NAV,02/22/1999
"Naxos Tecnologia",NAX,12/12/1997
"NCR Corporation",DUN,04/25/2002
"NCR Corporation",NCC,11/29/1996
"NCR Electronics",NCR,11/29/1996
"NDF Special Light Products B.V.",NDF,09/18/2014
"NDS Ltd",DMV,06/25/1997
"NEC Corporation",NEC,05/24/2000
"NEC CustomTechnica, Ltd.",NCT,10/23/2002
"NEC-Mitsubishi Electric Visual Systems Corporation",NMV,02/25/2002
"NEO TELECOM CO.,LTD.",NEO,11/08/1999
Neomagic,NMX,11/29/1996
"NeoTech S.R.L",NTC,11/11/1997
"Netaccess Inc",NTX,02/07/1997
"NetComm Ltd",NCL,11/29/1996
"NetVision Corporation",NVC,11/29/1996
"Network Alchemy",NAL,09/30/1997
"Network Designers",NDL,11/29/1996
"Network General",NGC,08/26/1997
"Network Info Technology",NIT,11/29/1996
"Network Peripherals Inc",NPI,11/29/1996
"Network Security Technology Co",NST,02/22/1999
"Networth Inc",NTW,11/29/1996
"NeuroSky, Inc.",NSA,08/28/2013
"NEUROTEC - EMPRESA DE PESQUISA E DESENVOLVIMENTO EM BIOMEDICINA",NEU,03/15/2001
"New Tech Int'l Company",NTI,11/29/1996
"NewCom Inc",NCI,01/09/1997
"Newisys, Inc.",NWS,10/08/2002
"Newport Systems Solutions",NSS,11/29/1996
Nexgen,NXG,11/29/1996
"Nexgen Mediatech Inc.,",NEX,11/11/2003
"Nexiq Technologies, Inc.",NXQ,10/08/2001
"Next Level Communications",NLC,11/29/1996
"NextCom K.K.",NXC,11/29/1996
"NingBo Bestwinning Technology CO., Ltd",NBT,09/05/2006
"NINGBO BOIGLE DIGITAL TECHNOLOGY CO.,LTD",BOI,11/25/2009
"Nippon Avionics Co.,Ltd",AVI,10/23/2000
"NIPPONDENCHI CO,.LTD",GSB,05/24/2000
"NISSEI ELECTRIC CO.,LTD",NSI,01/13/2000
"Nissei Electric Company",NIS,11/29/1996
"Nits Technology Inc.",NTS,12/19/2006
"Nixdorf Company",NCA,11/29/1996
NNC,NNC,11/29/1996
"Nokia Data",NDS,11/29/1996
"Nokia Display Products",NOK,11/29/1996
"Nokia Mobile Phones",NMP,11/29/1996
"Norand Corporation",NOR,03/19/1997
"Norcent Technology, Inc.",NCE,06/20/2007
"NordicEye AB",NOE,09/23/2009
"North Invent A/S",NOI,05/04/2010
"Northgate Computer Systems",NCS,11/29/1996
"Not Limited Inc",NOT,01/30/1998
"NovaWeb Technologies Inc",NWP,06/12/1998
"Novell Inc",NVL,11/29/1996
"Nspire System Inc.",NSP,02/13/2007
"N-trig Innovative Technologies, Inc.",NTR,10/03/2005
"NTT Advanced Technology Corporation",NTT,08/19/2004
"NU Inc.",NUI,08/29/2007
"NU Technology, Inc.",NUG,04/16/2004
"Number Five Software",NFS,02/22/1999
"Nutech Marketing PTL",KNX,11/29/1996
"NuVision US, Inc.",NVI,09/05/2006
"Nuvoton Technology Corporation",NTN,10/09/2008
Nvidia,NVD,11/29/1996
N-Vision,JEN,10/23/2000
"NXP Semiconductors bv.",NXP,06/14/2007
"NW Computer Engineering",NWC,02/03/1997
"Oak Tech Inc",OAK,11/29/1996
"Oasys Technology Company",OAS,11/29/1996
"OBJIX Multimedia Corporation",OMC,11/29/1996
"OCTAL S.A.",PCB,02/24/1998
"Oculus VR, Inc.",OVR,10/19/2012
Odrac,ODR,06/21/2001
"Office Depot, Inc.",ATV,06/13/2007
"OKI Electric Industrial Company Ltd",OKI,11/29/1996
"Oksori Company Ltd",OQI,11/29/1996
"Oksori Company Ltd",OSR,11/29/1996
Olfan,OCN,11/29/1996
"Olicom A/S",OLC,11/29/1996
"Olidata S.p.A.",OLD,03/13/2006
"Olitec S.A.",OLT,11/29/1996
"Olitec S.A.",OLV,11/29/1996
Olivetti,OLI,11/29/1996
"OLYMPUS CORPORATION",OLY,05/02/2005
OmniTek,OTK,09/19/2013
Omnitel,OMN,04/28/1998
"Omron Corporation",OMR,11/29/1996
"On Systems Inc",ONS,11/29/1996
"Oneac Corporation",ONE,04/14/1998
"ONKYO Corporation",ONK,06/16/2005
"OnLive, Inc",ONL,09/03/2010
"OOO Technoinvest",TIV,08/05/1997
"Opcode Inc",OPC,11/29/1996
"Open Connect Solutions",OCS,09/13/1999
"OPEN Networks Ltd",ONW,04/25/2003
"Open Stack, Inc.",OSI,07/22/2013
"OPPO Digital, Inc.",OPP,06/19/2012
"OPTi Inc",OPT,11/29/1996
"Optibase Technologies",OBS,11/01/2010
"Optical Systems Design Pty Ltd",OSD,06/03/2013
"Option Industrial Computers",OIC,05/07/2001
"Option International",OIN,10/23/2000
"Option International",OIM,01/30/1997
"OPTI-UPS Corporation",OSP,07/01/1997
"Optivision Inc",OPV,11/29/1996
"OPTO22, Inc.",OTT,10/06/1998
"Optoma Corporation          ",OTM,04/20/2010
"Optum Engineering Inc.",OEI,08/02/2010
"Orchid Technology",OTI,11/29/1996
"ORGA Kartensysteme GmbH",ORG,10/24/1998
"Orion Communications Co., Ltd.",TOP,04/30/2007
"ORION ELECTRIC CO., LTD.",ORN,01/19/2005
"ORION ELECTRIC CO.,LTD",OEC,01/13/2000
"OSAKA Micro Computer, Inc.",OSA,09/05/2003
"OSR Open Systems Resources, Inc.",ORI,01/20/1999
OSRAM,OOS,04/25/2002
"OUK Company Ltd",OUK,11/29/1996
outsidetheboxstuff.com,OTB,09/03/2010
"Oxus Research S.A.",OXU,11/29/1996
"OZ Corporation",OZC,08/07/2012
"Pacific Avionics Corporation",PAC,11/29/1996
"Pacific CommWare Inc",PCW,11/29/1996
"Pacific Image Electronics Company Ltd",PIE,10/21/1997
"Packard Bell Electronics",PBL,11/29/1996
"Packard Bell NEC",PBN,11/29/1996
"PACSGEAR, Inc.",PGI,08/13/2012
"Padix Co., Inc.",QFF,09/13/1999
"Pan Jit International Inc.",PJT,08/03/2004
Panasonic,MDO,11/29/1996
"Panasonic Avionics Corporation",PLF,08/13/2010
"Panasonic Industry Company",MEI,11/29/1996
"Panelview, Inc.",PNL,08/04/2003
"Pantel Inc",PTL,11/29/1996
"PAR Tech Inc.",PTA,01/26/2011
"Parade Technologies, Ltd.",PRT,04/06/2012
"Paradigm Advanced Research Centre",PGM,06/16/2005
"Parallan Comp Inc",PAR,11/29/1996
"Parallax Graphics",PLX,11/29/1996
"Parc d'Activite des Bellevues",RCE,11/29/1996
Parrot,POT,11/25/2014
"Pathlight Technology Inc",PTH,11/29/1996
"PC Xperten",PCX,02/24/1998
PCBANK21,PCK,02/13/2007
"PCM Systems Corporation",PCM,03/25/1997
"PC-Tel Inc",PCT,05/02/1997
"PD Systems International Ltd",PDS,03/20/1999
"PDTS - Prozessdatentechnik und Systeme",PDT,02/10/1998
"Pegatron Corporation",PEG,08/27/2013
"PEI Electronics Inc",PEI,04/06/1998
"Penta Studiotechnik GmbH",PVM,05/05/2010
"pentel.co.,ltd",PCL,02/25/2002
"Peppercon AG",PEP,04/12/2006
"Perceptive Pixel Inc.",PPX,05/04/2010
"Perceptive Signal Technologies",PER,05/13/1997
PerComm,PRC,04/24/2001
"Performance Concepts Inc.,",PCO,09/24/2002
"Performance Technologies",IPN,02/24/2004
"Perle Systems Limited",PSL,02/22/1999
"Perpetual Technologies, LLC",PON,01/13/2000
"Peter Antesberger Messtechnik",PAM,04/28/1998
"Peus-Systems GmbH",PSD,11/29/1996
"Philips BU Add On Card",PCA,11/29/1996
"Philips Communication Systems",PHS,11/29/1996
"Philips Consumer Electronics Company",PHL,11/29/1996
"Philips Medical Systems Boeblingen GmbH",PHE,04/20/2010
"Philips Semiconductors",PSC,11/29/1996
"Phoenix Contact",PXC,02/27/2008
"Phoenix Technologies, Ltd.",PNX,11/08/1999
"Phoenixtec Power Company Ltd",PPC,05/16/1999
"Photonics Systems Inc.",PHO,06/03/2002
PhotoTelesis,RSC,03/16/1998
"Phylon Communications",PHY,11/29/1996
PicPro,PPR,10/18/2004
"Pijnenburg Beheer N.V.",PHC,04/24/2001
"Pioneer Computer Inc",PCI,11/29/1996
"Pioneer Electronic Corporation",PIO,07/16/1997
"Pitney Bowes",PBV,09/13/1999
"Pitney Bowes",PBI,11/29/1996
"Pixel Qi",PQI,06/24/2009
"Pixel Vision",PVN,11/29/1996
"PIXELA CORPORATION",PXE,11/21/2007
"Pixie Tech Inc",PIX,11/29/1996
"Plain Tree Systems Inc",PTS,11/29/1996
"Planar Systems, Inc.",PNR,08/11/2003
"PLUS Vision Corp.",PLV,07/05/2001
"PMC Consumer Electronics Ltd",PMC,12/11/1996
"pmns GmbH",SPR,10/08/2002
"Point Multimedia System",PMM,06/09/1997
"Polycom Inc.",PLY,06/19/2002
"PolyComp (PTY) Ltd.",POL,02/14/2006
"Polycow Productions",COW,03/15/2001
"Portalis LC",POR,11/01/2008
"Poso International B.V.",ARO,08/01/1997
"POTRANS Electrical Corp.",PEC,07/16/1999
"PowerCom Technology Company Ltd",PCC,09/02/1997
"Powermatic Data Systems",CPX,11/29/1996
"Practical Electronic Tools",PET,02/22/1999
"Practical Peripherals",PPI,11/29/1996
"Practical Solutions Pte., Ltd.",PSE,10/06/1998
"Praim S.R.L.",PRD,11/29/1996
"Primax Electric Ltd",PEL,11/29/1996
"Prime Systems, Inc.",SYX,10/21/2003
"Prime view international Co., Ltd",PVI,07/06/2009
"Princeton Graphic Systems",PGS,11/29/1996
"Prism, LLC",PIM,07/24/2007
"Priva Hortimation BV",PRI,10/22/1997
PRO/AUTOMATION,PRA,07/16/1999
"Procomp USA Inc",PCP,11/29/1996
"Prodea Systems Inc.",PSY,02/04/2013
"Prodrive B.V.",PDV,01/18/2005
Projecta,PJA,01/29/1997
"Projectavision Inc",DHT,01/14/1998
"Projectiondesign AS",PJD,09/23/2002
"PROLINK Microsystems Corp.",PLM,02/25/2002
"Pro-Log Corporation",PLC,11/29/1996
"Promate Electronic Co., Ltd.",PMT,01/13/2003
Prometheus,PRM,11/29/1996
"Promise Technology Inc",PTI,01/02/1997
"Promotion and Display Technology Ltd.",PAD,04/24/2001
"Promotion and Display Technology Ltd.",TEL,04/24/2001
"propagamma kommunikation",PGP,04/19/2000
Prosum,PSM,11/29/1996
Proteon,PRO,11/29/1996
"Proview Global Co., Ltd",PVG,10/08/2002
"Proxim Inc",PXM,09/19/1997
"Proxima Corporation",PRX,11/29/1996
"PS Technology Corporation",PTC,01/29/1997
"Psion Dacom Plc.",PDM,11/08/1999
"PSI-Perceptive Solutions Inc",PSI,11/29/1996
"PT Hartono Istana Teknologi",PLT,05/05/2010
"Pulse-Eight Ltd",PUL,09/12/2012
"Pure Data Inc",PDR,11/29/1996
"Purup Prepress AS",PPP,11/29/1996
"Qingdao Haier Electronics Co., Ltd.",HRE,04/12/2006
Q-Logic,QLC,11/29/1996
"Qtronix Corporation",QTR,11/29/1996
Quadram,DHQ,11/29/1996
Quadram,QDM,11/29/1996
"Quadrant Components Inc",QCL,04/03/1997
"QuakeCom Company Ltd",QCC,03/23/1998
"Qualcomm Inc",QCP,05/16/1999
"Quanta Computer Inc",QCI,11/29/1996
"Quanta Display Inc.",QDS,04/25/2002
Quantum,QTM,11/29/1996
"Quantum 3D Inc",QTD,05/23/1997
"Quantum Data Incorporated",QDI,03/15/2001
Quartics,QVU,11/04/2010
"Quatographic AG",QUA,01/13/2000
"Questech Ltd",QTH,01/13/2000
"Questra Consulting",QUE,01/30/1998
"Quick Corporation",QCK,11/29/1996
"Quickflex, Inc",QFI,08/04/1998
"Quicknet Technologies Inc",QTI,11/29/1996
"R Squared",RSQ,11/08/1999
R.P.T.Intergroups,RPT,11/29/1996
"Racal Interlan Inc",RII,11/29/1996
"Racal-Airtech Software Forge Ltd",TSF,11/29/1996
"Racore Computer Products Inc",RAC,11/29/1996
"Radicom Research Inc",RRI,12/02/1997
"Radio Consult SRL",RCN,09/24/2002
"RADIODATA GmbH",RDN,07/25/2012
"RadioLAN Inc",RLN,11/29/1996
"Radiospire Networks, Inc.",RSN,06/14/2007
"Radisys Corporation",RAD,11/29/1996
"Radius Inc",RDS,03/07/1997
"RAFI GmbH & Co. KG",RFI,08/24/2015
"Rainbow Displays, Inc.",RDI,09/23/1998
"Rainbow Technologies",RNB,11/29/1996
"Raintree Systems",RTS,10/02/2001
"Rainy Orchard",BOB,02/21/2000
"Rampage Systems Inc",RSI,11/29/1996
"Rancho Tech Inc",RAN,11/29/1996
"Rancho Tech Inc",RTI,11/29/1996
"Rapid Tech Corporation",RSX,11/29/1996
"Raritan Computer, Inc",RMC,11/27/1998
"Raritan, Inc.",RAR,06/14/2007
"RAScom Inc",RAS,11/29/1996
"RATOC Systems, Inc.",REX,01/06/2012
"Raylar Design, Inc.",RAY,01/13/2000
"RC International",RCI,11/29/1996
"Reach Technology Inc",RCH,02/09/1998
"Reakin Technolohy Corporation",RKC,03/15/2001
"Real D",REA,11/15/2007
"Realtek Semiconductor Company Ltd",RTL,11/29/1996
"Realtek Semiconductor Corp.",ALG,10/25/2002
"Realvision Inc",RVI,11/29/1996
ReCom,REC,05/16/1999
"Red Wing Corporation",RWC,01/08/1998
"Redfox Technologies Inc.",RFX,01/14/2014
"Reflectivity, Inc.",REF,04/19/2000
"Rehan Electronics Ltd.",REH,02/15/2012
"Relia Technologies",RTC,11/29/1996
"Reliance Electric Ind Corporation",REL,11/29/1996
"Renesas Technology Corp.",REN,06/14/2007
Rent-A-Tech,RAT,02/22/1999
"Research Electronics Development Inc",RED,12/02/1997
"Research Machines",RMP,11/29/1996
"ResMed Pty Ltd",RES,02/21/2000
"Resonance Technology, Inc.",RET,02/09/2011
"Restek Electric Company Ltd",WTS,11/29/1996
"Reveal Computer Prod",RVL,11/29/1996
"Revolution Display, Inc.",REV,03/19/2014
"RGB Spectrum",RGB,11/14/2012
"RGB Systems, Inc. dba Extron Electronics",EXN,07/06/2008
"RICOH COMPANY, LTD.",RIC,05/13/2010
"RightHand Technologies",RHD,05/01/2012
"Rios Systems Company Ltd",RIO,11/29/1996
"Ritech Inc",RIT,04/14/1998
"Rivulet Communications",RIV,07/19/2007
"Robert Bosch GmbH",BSG,05/15/2014
"Robert Gray Company",GRY,03/31/1998
"Robertson Geologging Ltd",RGL,08/10/2000
"Robust Electronics GmbH",ROB,01/18/2008
"Rockwell Automation/Intecolor",RAI,03/13/1998
"Rockwell Collins",RCO,09/10/2010
"Rockwell Collins / Airshow Systems",ASY,12/02/2004
"Rockwell Collins, Inc.",COL,06/14/2007
"Rockwell International",ROK,11/29/1996
"Rockwell Semiconductor Systems",RSS,11/29/1996
"Rogen Tech Distribution Inc",MAX,11/29/1996
"Rohde & Schwarz",ROS,01/20/2012
"Rohm Co., Ltd.",ROH,06/16/2004
"Rohm Company Ltd",RHM,05/13/1997
"Roland Corporation",RJA,11/29/1996
"RoomPro Technologies",RPI,07/09/2010
"Roper International Ltd",ROP,05/16/1999
"Roper Mobile",RMT,07/02/2010
"Ross Video Ltd",RSV,06/11/2012
"Royal Information",TRL,11/29/1996
"Rozsnyó, s.r.o.",RZS,03/24/2014
"RSI Systems Inc",RVC,04/28/1998
"RUNCO International",RUN,04/01/2004
"S&K Electronics",SNK,02/21/2000
"S3 Inc",TLV,01/07/1997
"S3 Inc",SIM,11/29/1996
"S3 Inc",SSS,11/29/1996
"Saab Aerotech",SAE,06/14/2007
"Sage Inc",SAI,07/16/1997
SAGEM,SGM,09/05/2003
SAIT-Devlonics,SDK,11/29/1996
"Saitek Ltd",SAK,05/16/1999
"Salt Internatioinal Corp.",SLT,09/05/2006
"Samsung Electric Company",SAM,11/29/1996
"Samsung Electro-Mechanics Company Ltd",SKT,11/29/1996
"Samsung Electronics America",STN,08/10/2000
"Samsung Electronics America Inc",KYK,02/24/1998
"Samsung Electronic Co.",SSE,08/10/2000
"Samsung Electronics Company Ltd",SEM,11/29/1996
"Samtron Displays Inc",SDI,11/29/1996
"SANKEN ELECTRIC CO., LTD",JSK,09/13/1999
"Sankyo Seiki Mfg.co., Ltd",SSJ,01/28/2003
"Sanritz Automation Co.,Ltd.",SAA,02/25/2002
"SANTAK CORP.",STK,11/27/1998
"Santec Corporation",SOC,01/12/2015
"Sanyo Electric Co.,Ltd.",SAN,11/08/1999
"Sanyo Electric Company Ltd",SCD,11/29/1996
"Sanyo Electric Company Ltd",SIB,11/29/1996
"Sanyo Electric Company Ltd",TSC,11/29/1996
"Sanyo Icon",ICN,11/29/1996
"Sapience Corporation",SPN,11/29/1996
"SAT (Societe Anonyme)",SDA,11/29/1996
"SBS Technologies (Canada), Inc. (was Avvida Systems, Inc.)",AVV,12/17/2002
"SBS-or Industrial Computers GmbH",SBS,12/28/1998
"Scan Group Ltd",SGI,11/29/1996
"Scanport, Inc.",SCN,08/05/2002
"SCD Tech",KFC,10/23/2002
"Sceptre Tech Inc",SPT,11/29/1996
Schlumberger,SMB,07/16/1999
"Schlumberger Cards",SCH,04/28/1998
"Schlumberger Technology Corporate",SLR,08/10/2000
"Schneider & Koch",SKD,11/29/1996
"Schneider Electric S.A.",MGE,11/29/1996
"Schnick-Schnack-Systems GmbH",SLS,05/06/2009
"SCI Systems Inc.",REM,08/10/2000
"SCM Microsystems Inc",SCM,11/29/1996
"Scriptel Corporation",SCP,06/14/2007
"SDR Systems",SDR,03/15/2001
"SDS Technologies",STY,11/08/1999
"SDX Business Systems Ltd",SDX,11/29/1996
"Seanix Technology Inc",NIX,04/09/2007
"Seanix Technology Inc.",SEA,02/24/1998
Sedlbauer,SAG,11/29/1996
"SeeColor Corporation",SEE,11/29/1996
"SeeCubic B.V.",SCB,11/02/2012
"SeeReal Technologies GmbH",SRT,06/27/2005
"Seiko Epson Corporation",SEC,11/29/1996
"Seiko Instruments Information Devices Inc",SID,12/16/1996
"Seiko Instruments USA Inc",SIU,11/29/1996
"Seitz & Associates Inc",SEI,01/30/1998
"Sejin Electron Inc",SJE,08/20/1997
"SELEX GALILEO",SXG,10/01/2012
